"name","lg","avg"
"Larry Walker","NL",0.3501
"Ichiro Suzuki","AL",0.3497
"Jason Giambi","AL",0.3423
"Roberto Alomar","AL",0.3357
"Todd Helton","NL",0.3356
"Moises Alou","NL",0.3314
"Lance Berkman","NL",0.331
"Bret Boone","AL",0.3307
"Frank Catalanotto","AL",0.3305
"Chipper Jones","NL",0.3304
"Albert Pujols","NL",0.3288
"Barry Bonds","NL",0.3277
"Sammy Sosa","NL",0.3276
"Juan Pierre","NL",0.3274
"Juan Gonzalez","AL",0.3252
"Luis Gonzalez","NL",0.3251
"Rich Aurilia","NL",0.3239
"Paul Lo Duca","NL",0.3196
"Jose Vidro","NL",0.3189
"Alex Rodriguez","AL",0.318
"Cliff Floyd","NL",0.3171
"Shannon Stewart","AL",0.3156
"Jeff Cirillo","NL",0.3125
"Jeff Conine","AL",0.3111
"Derek Jeter","AL",0.3111
